# 以下のメニューは株式会社サイゼリヤ様のメニュー情報を使用しています。
# 引用元: https://www.saizeriya.co.jp/PDF/irpdf000788.pdf
キッズ	おこさまセット(タラコ)	500
キッズ	おこさまセット(ミート)	500
スパゲッティ	カルボナーラ	500
サラダ	チキンとブロッコリーのサラダ　Lサイズ	500
肉料理	ディアボラ風ハンバーグ	500
肉料理	デミグラスソースのハンバーグ	500
ピザ	バッファローモッツアレラのピザ	500
米料理	ハヤシ&ターメリックライス	500
デザート	プリンとティラミス クラシコの盛合せ	500
スパゲッティ	フレッシュトマトのスパゲッティ	500
スパゲッティ	ペストジェノベーゼ	500
サラダ	わかめとオクラのサラダ　Lサイズ	500
サラダ	小エビのサラダ　Lサイズ	500
サラダ	彩りイタリアンサラダ　Lサイズ	500
肉料理	柔らかチキンのチーズ焼き	500
肉料理	若鶏のディアボラ風	500
ピザ	(Tチーズ)半熟卵のパンチェッタのピザ	550
米料理	半熟卵のハヤシ&ターメリックライス	550
ピザ	(Tチーズ)バッファローモッツアレラのピザ	600
前菜	Wサイズのフレッシュチーズとトマトのサラダ	600
前菜	Wサイズの熟成ミラノサラミ	600
肉料理	グリルチキン&ハンバーグ	600
米料理	シーフードパエリア	600
肉料理	チョリソーと若鶏の盛合せ	600
スパゲッティ	大盛りスパ（アラビアータ	600
スパゲッティ	大盛りスパ（タラコソースシシリー風	600
スパゲッティ	大盛りスパ（パルマ風スパゲッティ	600
スパゲッティ	大盛りスパ（ミートソースボロニア風	600
肉料理	チーズのせチキン＆ハンバーグ	700
肉料理	チキン&ハンバーグのディアボラ風	700
スパゲッティ	大盛りスパ（イカの墨入りスパゲッティ	700
スパゲッティ	大盛りスパ（エビとブロッコリーのオーロラソース	700
スパゲッティ	大盛りスパ（カルボナーラ	700
スパゲッティ	大盛りスパ（フレッシュトマトのスパゲッティ	700
スパゲッティ	大盛りスパ（ペストジェノベーゼ	700
前菜	Wサイズ アロスティチーニ（ラムの串焼き）	800
前菜	Wサイズのプロシュート	800
テイクアウト	TOオリーブオイル	850
肉料理	リブステーキ	1,000
ワイン	キャンティ	1,100
ワイン	ドン　ラファエロ	1,100
ワイン	ベルデッキオ	1,100
ワイン	ランブルスコ（ロゼ）	1,100
ワイン	ランブルスコセッコ	1,100
ワイン	白マグナム1.5L	1,100
ワイン	赤マグナム1.5L	1,100
デザート	ティラミスクラシコ ファミリーサイズ(6人分)	1,800
ワイン	キャンティルフィーナ	2,200
